19.7;11;1/1/1995
12.0;12;2/1/1995
14.6;11;3/1/1995
10.1;10;4/1/1995
11.4;12;5/1/1995
13.0;10;6/1/1995
13.5;11;7/1/1995
11.2;11;8/1/1995
14.6;11;9/1/1995
12.1;11;10/1/1995
14.9;11;11/1/1995
12.8;10;12/1/1995
14.5;10;13/1/1995
12.4;11;14/1/1995
14.7;10;15/1/1995
13.3;11;16/1/1995
10.6;11;17/1/1995
12.1;11;18/1/1995
11.1;10;19/1/1995
11.3;12;20/1/1995
13.0;11;21/1/1995
11.4;10;22/1/1995
12.3;12;23/1/1995
11.5;12;24/1/1995
12.0;11;25/1/1995
11.9;10;26/1/1995
13.9;10;27/1/1995
12.0;12;28/1/1995
11.4;11;29/1/1995
14.1;10;30/1/1995
12.7;9;31/1/1995
13.1;11;1/2/1995
15.6;14;2/2/1995
15.3;13;3/2/1995
19.0;12;4/2/1995
16.5;11;5/2/1995
17.5;12;6/2/1995
17.0;12;7/2/1995
19.1;14;8/2/1995
19.7;14;9/2/1995
15.5;14;10/2/1995
19.4;11;11/2/1995
15.8;12;12/2/1995
18.2;12;13/2/1995
16.8;13;14/2/1995
15.9;12;15/2/1995
15.6;11;16/2/1995
16.8;13;17/2/1995
19.2;13;18/2/1995
19.5;13;19/2/1995
15.5;13;20/2/1995
16.0;13;21/2/1995
17.6;13;22/2/1995
19.1;11;23/2/1995
17.7;12;24/2/1995
19.3;14;25/2/1995
20.0;12;26/2/1995
19.0;13;27/2/1995
19.1;12;28/2/1995
18.0;11;1/3/1995
21.8;13;2/3/1995
22.1;13;3/3/1995
20.0;15;4/3/1995
21.6;14;5/3/1995
22.9;16;6/3/1995
21.6;14;7/3/1995
22.0;14;8/3/1995
21.1;13;9/3/1995
21.4;15;10/3/1995
20.2;16;11/3/1995
24.4;13;12/3/1995
23.2;14;13/3/1995
23.1;14;14/3/1995
22.1;16;15/3/1995
23.7;14;16/3/1995
23.3;14;17/3/1995
23.5;15;18/3/1995
23.5;15;19/3/1995
20.4;13;20/3/1995
22.8;16;21/3/1995
22.3;16;22/3/1995
21.2;15;23/3/1995
24.1;14;24/3/1995
21.0;14;25/3/1995
20.2;14;26/3/1995
23.0;16;27/3/1995
23.6;14;28/3/1995
24.7;15;29/3/1995
22.0;16;30/3/1995
23.0;15;31/3/1995
20.1;14;1/4/1995
27.2;18;2/4/1995
30.9;17;3/4/1995
28.9;15;4/4/1995
28.7;16;5/4/1995
26.2;15;6/4/1995
26.1;16;7/4/1995
28.1;15;8/4/1995
27.2;16;9/4/1995
29.9;15;10/4/1995
29.4;15;11/4/1995
29.0;18;12/4/1995
28.0;18;13/4/1995
29.4;15;14/4/1995
30.9;17;15/4/1995
29.4;18;16/4/1995
29.9;15;17/4/1995
26.6;15;18/4/1995
29.3;16;19/4/1995
27.9;16;20/4/1995
28.9;18;21/4/1995
26.1;15;22/4/1995
26.4;16;23/4/1995
28.5;17;24/4/1995
27.2;15;25/4/1995
28.8;17;26/4/1995
29.5;17;27/4/1995
29.0;17;28/4/1995
30.5;17;29/4/1995
27.5;18;30/4/1995
27.1;18;1/5/1995
33.3;11;2/5/1995
32.5;10;3/5/1995
35.2;10;4/5/1995
35.5;8;5/5/1995
32.8;8;6/5/1995
34.0;10;7/5/1995
35.9;10;8/5/1995
32.7;9;9/5/1995
33.5;8;10/5/1995
35.0;11;11/5/1995
32.6;11;12/5/1995
34.0;10;13/5/1995
33.9;10;14/5/1995
34.7;10;15/5/1995
35.8;11;16/5/1995
32.4;10;17/5/1995
34.5;10;18/5/1995
32.7;10;19/5/1995
33.2;10;20/5/1995
31.6;10;21/5/1995
31.0;10;22/5/1995
33.3;9;23/5/1995
34.8;9;24/5/1995
33.6;8;25/5/1995
31.4;9;26/5/1995
35.5;9;27/5/1995
35.4;10;28/5/1995
32.2;9;29/5/1995
32.7;10;30/5/1995
32.3;10;31/5/1995
31.4;8;1/6/1995
37.6;9;2/6/1995
41.3;8;3/6/1995
39.3;7;4/6/1995
37.9;10;5/6/1995
41.4;10;6/6/1995
38.2;7;7/6/1995
38.6;10;8/6/1995
41.9;9;9/6/1995
37.6;9;10/6/1995
38.2;9;11/6/1995
38.0;9;12/6/1995
38.2;10;13/6/1995
40.4;8;14/6/1995
41.6;8;15/6/1995
39.5;9;16/6/1995
39.5;8;17/6/1995
38.8;10;18/6/1995
38.7;9;19/6/1995
40.0;7;20/6/1995
39.9;9;21/6/1995
38.1;7;22/6/1995
40.2;9;23/6/1995
38.7;9;24/6/1995
40.4;10;25/6/1995
40.3;9;26/6/1995
41.3;8;27/6/1995
38.5;9;28/6/1995
38.6;10;29/6/1995
42.0;10;30/6/1995
39.3;9;1/7/1995
43.3;11;2/7/1995
41.5;11;3/7/1995
43.3;9;4/7/1995
45.6;10;5/7/1995
45.0;10;6/7/1995
43.5;9;7/7/1995
43.8;11;8/7/1995
44.3;10;9/7/1995
41.1;10;10/7/1995
43.5;11;11/7/1995
44.4;10;12/7/1995
44.2;10;13/7/1995
42.3;12;14/7/1995
45.5;11;15/7/1995
43.3;11;16/7/1995
41.8;10;17/7/1995
41.7;11;18/7/1995
41.9;9;19/7/1995
41.8;12;20/7/1995
45.2;10;21/7/1995
41.2;11;22/7/1995
44.2;12;23/7/1995
45.4;10;24/7/1995
44.8;11;25/7/1995
43.7;11;26/7/1995
45.7;12;27/7/1995
41.4;12;28/7/1995
44.9;11;29/7/1995
44.0;10;30/7/1995
42.1;10;31/7/1995
45.1;12;1/8/1995
48.9;14;2/8/1995
49.8;13;3/8/1995
46.7;14;4/8/1995
47.7;15;5/8/1995
50.0;14;6/8/1995
46.6;15;7/8/1995
50.0;13;8/8/1995
48.8;14;9/8/1995
49.1;14;10/8/1995
49.0;12;11/8/1995
50.9;12;12/8/1995
47.7;15;13/8/1995
46.9;15;14/8/1995
49.3;13;15/8/1995
49.8;13;16/8/1995
50.3;15;17/8/1995
46.2;12;18/8/1995
50.2;14;19/8/1995
50.5;14;20/8/1995
47.0;13;21/8/1995
50.1;14;22/8/1995
50.9;12;23/8/1995
50.3;14;24/8/1995
48.7;14;25/8/1995
48.0;14;26/8/1995
47.4;13;27/8/1995
46.1;15;28/8/1995
50.9;15;29/8/1995
48.1;12;30/8/1995
47.9;13;31/8/1995
49.8;12;1/9/1995
40.3;16;2/9/1995
42.2;14;3/9/1995
42.7;15;4/9/1995
43.8;14;5/9/1995
43.5;13;6/9/1995
40.5;15;7/9/1995
43.9;13;8/9/1995
42.1;16;9/9/1995
44.5;15;10/9/1995
43.4;15;11/9/1995
42.2;15;12/9/1995
41.0;15;13/9/1995
44.7;15;14/9/1995
40.5;13;15/9/1995
41.9;15;16/9/1995
44.0;15;17/9/1995
43.6;14;18/9/1995
40.7;15;19/9/1995
43.3;14;20/9/1995
44.4;16;21/9/1995
42.3;15;22/9/1995
42.1;15;23/9/1995
42.2;13;24/9/1995
44.7;14;25/9/1995
40.6;15;26/9/1995
44.3;16;27/9/1995
40.5;15;28/9/1995
44.0;14;29/9/1995
41.3;16;30/9/1995
40.2;15;1/10/1995
38.5;8;2/10/1995
35.6;9;3/10/1995
39.4;7;4/10/1995
36.2;8;5/10/1995
35.4;9;6/10/1995
36.0;8;7/10/1995
39.2;10;8/10/1995
38.9;8;9/10/1995
35.6;10;10/10/1995
39.6;9;11/10/1995
37.3;10;12/10/1995
35.3;7;13/10/1995
37.0;8;14/10/1995
35.9;7;15/10/1995
37.9;9;16/10/1995
39.7;7;17/10/1995
37.5;9;18/10/1995
35.9;9;19/10/1995
39.4;8;20/10/1995
39.7;10;21/10/1995
39.2;10;22/10/1995
35.8;10;23/10/1995
37.4;8;24/10/1995
38.0;8;25/10/1995
35.3;9;26/10/1995
36.8;9;27/10/1995
36.2;10;28/10/1995
37.2;10;29/10/1995
37.7;9;30/10/1995
39.4;10;31/10/1995
39.8;9;1/11/1995
28.7;9;2/11/1995
27.9;9;3/11/1995
28.5;10;4/11/1995
28.9;10;5/11/1995
26.4;10;6/11/1995
27.7;10;7/11/1995
27.8;10;8/11/1995
25.5;11;9/11/1995
25.1;9;10/11/1995
26.0;8;11/11/1995
25.9;10;12/11/1995
25.0;11;13/11/1995
25.6;10;14/11/1995
26.1;11;15/11/1995
25.5;8;16/11/1995
28.1;9;17/11/1995
27.5;10;18/11/1995
25.1;10;19/11/1995
25.8;11;20/11/1995
26.2;9;21/11/1995
